Blink 182,California
Carly Rae Jepsen,Emotion
Clap Your Hands Say Yeah,Skin and Bones
Danny Brown,uknowhatimsaying?
Death Cab For Cutie,Transantlanticism
Ed Sheeran,Divide
Frank Ocean,Igor
Jamilla Woods,LEGACY!LEGACY!
